instance,n_boxes,input_grid_mm,solver,status,exit_code,pallet_count,objective_bound,mip_gap,reported_runtime_seconds,wall_seconds,output_directory,error
pl001_n010_H900_B2_LB2UB2,10,50,full_grid,timed_out,,,,,,120.036,C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\output\solver_comparison_three_methods_easy_2026-08-19\results\full_grid\pl001_n010_H900_B2_LB2UB2,external timeout after 120s
pl001_n010_H900_B2_LB2UB2,10,50,subset_sum,completed,0,2,,0.0,6.141318300040439,7.557,C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\output\solver_comparison_three_methods_easy_2026-08-19\results\subset_sum\pl001_n010_H900_B2_LB2UB2,
pl001_n010_H900_B2_LB2UB2,10,50,coordinate_based,failed,1,,,,,31.593,C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\output\solver_comparison_three_methods_easy_2026-08-19\results\coordinate_based\pl001_n010_H900_B2_LB2UB2," ""C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\gurobi_coordinate_solver.py"", line 1059, in <module>     raise SystemExit(main())                      ~~~~^^   File ""C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\gurobi_coordinate_solver.py"", line 1043, in main     solution, _, _, _ = solve_instance(                         ~~~~~~~~~~~~~~^         input_path,         ^^^^^^^^^^^     ...<3 lines>...         args.print_model,         ^^^^^^^^^^^^^^^^^     )     ^   File ""C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\gurobi_coordinate_solver.py"", line 892, in solve_instance     solution = exact.solve()   File ""C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\gurobi_coordinate_solver.py"", line 662, in solve     raise RuntimeError(f""no feasible solution found; Gurobi status={status} ({self.model.Status})"") RuntimeError: no feasible solution found; Gurobi status=TIME_LIMIT (9) "
pl002_n010_H900_2_LB2UB3,10,50,full_grid,timed_out,,,,,,120.048,C:\Users\pherrman\Seafile\Meine Bibliothek\projects\Moo_Camp_Pallet_Packing\output\solver_comparison_three_methods_easy_2026-08-19\results\full_grid\pl002_n010_H900_2_LB2UB3,external timeout after 120s
